Date;Tournament;Surface;Rd;Rk;vRk;;Score;More;DR;A%;DF%;1stIn;1st%;2nd%;BPSvd;Time
;;;;;;;;;;;;;;;;
27‑May‑2024;Roland Garros;Clay;SF;2;3;(3)Carlos Alcaraz [ESP] d. (2)Sinner;2-6 6-3 3-6 6-4 6-3; (ch);1.06;5.2%;5.9%;56.3%;73.7%;45.8%;ago-14;
27‑May‑2024;Roland Garros;Clay;QF;2;10;(2)Sinner d. (10)Grigor Dimitrov [BUL];6-2 6-4 7-6(3); (ch);1.61;9.0%;0.0%;59.6%;81.1%;63.9%;01-feb;
27‑May‑2024;Roland Garros;Clay;R16;2;79;(2)Sinner d. Corentin Moutet [FRA];2-6 6-3 6-2 6-1; (ch);1.39;5.3%;5.3%;65.3%;72.6%;42.4%;02-jun;
27‑May‑2024;Roland Garros;Clay;R32;2;56;(2)Sinner d. Pavel Kotov [RUS];6-4 6-4 6-4; (ch);1.49;4.8%;1.2%;62.7%;78.8%;67.7%;01-ene;
27‑May‑2024;Roland Garros;Clay;R64;2;124;(2)Sinner d. (WC)Richard Gasquet [FRA];6-4 6-2 6-4; (ch);1.69;10.5%;3.9%;76.3%;79.3%;50.0%;01-feb;
27‑May‑2024;Roland Garros;Clay;R128;2;46;(2)Sinner d. Christopher Eubanks [USA];6-3 6-3 6-4; (ch);1.45;6.7%;4.5%;60.7%;77.8%;51.4%;09-oct;
29‑May‑2023;Roland Garros;Clay;R64;9;79;Daniel Altmaier [GER] d. (8)Sinner;6-7(0) 7-6(7) 1-6 7-6(4) 7-5; (ch);1.06;5.9%;1.6%;58.8%;70.0%;54.5%;04-sep;5:26
29‑May‑2023;Roland Garros;Clay;R128;9;101;(8)Sinner d. Alexandre Muller [FRA];6-1 6-4 6-1; (ch);1.84;7.1%;2.9%;57.1%;82.5%;60.0%;02-feb;1:46
23‑May‑2022;Roland Garros;Clay;R16;12;7;(7)Andrey Rublev [RUS] d. (11)Sinner;1-6 6-4 2-0 RET;;0.79;9.1%;4.5%;51.5%;70.6%;50.0%;03-may;
23‑May‑2022;Roland Garros;Clay;R32;12;60;(11)Sinner d. Mackenzie Mcdonald [USA];6-3 7-6(6) 6-3;;1.27;3.8%;1.9%;56.6%;75.0%;56.5%;07-ago;
23‑May‑2022;Roland Garros;Clay;R64;12;89;(11)Sinner d. Roberto Carballes Baena [ESP];3-6 6-4 6-4 6-3;;1.12;8.5%;2.3%;58.9%;67.1%;52.8%;sep-13;
23‑May‑2022;Roland Garros;Clay;R128;12;186;(11)Sinner d. (Q)Bjorn Fratangelo [USA];6-3 6-2 6-3;;1.67;7.8%;2.6%;61.0%;78.7%;63.3%;02-feb;
31‑May‑2021;Roland Garros;Clay;R16;19;3;(3)Rafael Nadal [ESP] d. (18)Sinner;7-5 6-3 6-0; (ch);0.59;0.0%;5.3%;65.8%;42.0%;38.5%;may-14;2:17
31‑May‑2021;Roland Garros;Clay;R32;19;105;(18)Sinner d. Mikael Ymer [SWE];6-1 7-5 6-3;;1.50;5.4%;3.3%;56.5%;80.8%;52.5%;10-nov;2:22
31‑May‑2021;Roland Garros;Clay;R64;19;87;(18)Sinner d. Gianluca Mager [ITA];6-1 7-5 3-6 6-3;;1.53;8.2%;0.0%;60.8%;76.3%;71.1%;02-abr;2:19
31‑May‑2021;Roland Garros;Clay;R128;19;85;(18)Sinner d. Pierre Hugues Herbert [FRA];6-1 4-6 6-7(4) 7-5 6-4; (ch);1.19;3.2%;2.6%;61.7%;68.4%;59.3%;08-dic;3:32
28‑Sep‑2020;Roland Garros;Clay;QF;75;2;(2)Rafael Nadal [ESP] d. Sinner;7-6(4) 6-4 6-1;;0.76;2.2%;3.2%;67.7%;57.1%;43.3%;02-ago;2:49
28‑Sep‑2020;Roland Garros;Clay;R16;75;7;Sinner d. (6)Alexander Zverev [GER];6-3 6-3 4-6 6-3;;1.07;2.1%;4.2%;56.6%;71.6%;53.2%;06-ago;3:01
28‑Sep‑2020;Roland Garros;Clay;R32;75;99;Sinner d. Federico Coria [ARG];6-3 7-5 7-5;;1.22;0.0%;2.0%;67.0%;64.2%;51.5%;05-sep;2:30
28‑Sep‑2020;Roland Garros;Clay;R64;75;227;Sinner d. (Q)Benjamin Bonzi [FRA];6-2 6-4 6-4;;1.33;3.2%;2.2%;67.7%;65.1%;63.3%;03-may;1:55
28‑Sep‑2020;Roland Garros;Clay;R128;75;13;Sinner d. (11)David Goffin [BEL];7-5 6-0 6-3;;1.56;2.5%;2.5%;67.5%;77.8%;46.2%;04-jun;1:59
