Match;Result;Unret%;<=3 W%;RiP W%;SvImpact;1st: Unret%;<=3 W%;RiP W%;SvImpact;D Wide%;A Wide%;BP Wide%;2nd: Unret%;<=3 W%;RiP W%;2ndAgg
2024 Shanghai F;W vs Djokovic;32.8%;46.3%;57.8%;38.2%;43.9%;58.5%;56.5%;52.7%;45.5%;50.0%;-;15.4%;26.9%;59.1%;-79
2024 Shanghai SF;W vs Machac;30.4%;42.0%;57.4%;37.2%;40.0%;55.6%;55.6%;50.4%;38.1%;75.0%;100.0%;13.0%;17.4%;60.0%;-16
2024 Shanghai QF;W vs Medvedev;36.0%;40.0%;62.5%;39.2%;48.5%;54.5%;70.6%;53.3%;38.9%;46.7%;100.0%;11.8%;11.8%;53.3%;-79
2024 Shanghai R16;W vs Shelton;42.4%;54.5%;65.8%;48.8%;47.8%;60.9%;75.0%;57.0%;50.0%;42.9%;0.0%;30.0%;40.0%;50.0%;-79
2024 Beijing F;L vs Alcaraz;20.2%;30.2%;52.5%;26.2%;25.4%;42.3%;54.7%;36.3%;48.5%;55.3%;71.4%;14.8%;16.7%;50.0%;25
2024 Beijing SF;W vs Yunchaokete;31.2%;48.1%;58.5%;38.4%;42.3%;61.5%;53.3%;53.1%;68.4%;45.5%;-;8.0%;20.0%;65.2%;-79
2024 Beijing R32;W vs Jarry;40.9%;45.5%;63.2%;45.0%;42.2%;48.9%;69.2%;48.2%;30.0%;52.0%;0.0%;40.0%;40.0%;50.0%;-7
2024 US Open F;W vs Fritz;27.1%;45.9%;60.7%;36.0%;34.9%;67.4%;82.1%;52.6%;45.0%;43.5%;25.0%;22.2%;27.8%;39.3%;96
2024 US Open SF;W vs Draper;33.3%;44.8%;66.1%;40.1%;43.5%;54.8%;60.0%;54.0%;68.2%;57.5%;0.0%;15.6%;28.1%;74.1%;10
2024 US Open QF;W vs Medvedev;26.8%;37.1%;58.6%;33.2%;31.4%;51.0%;65.7%;43.5%;41.4%;45.5%;0.0%;22.2%;22.2%;51.4%;-46
2024 US Open R16;W vs Paul;30.6%;45.9%;55.2%;37.6%;42.9%;63.3%;64.3%;56.7%;64.7%;53.1%;100.0%;18.8%;29.2%;48.7%;-48
2024 US Open R32;W vs Oconnell;36.2%;43.5%;66.7%;41.6%;48.9%;60.0%;65.2%;57.1%;60.0%;50.0%;-;13.6%;13.6%;68.4%;19
2024 US Open R64;W vs Michelsen;38.5%;49.2%;52.6%;44.8%;48.6%;67.6%;63.2%;59.7%;33.3%;45.5%;0.0%;26.9%;26.9%;42.1%;29
2024 US Open R128;W vs Mcdonald;33.0%;41.5%;50.0%;37.6%;50.0%;59.6%;50.0%;58.3%;62.5%;46.4%;0.0%;13.5%;21.6%;50.0%;13
2024 Cincinnati F;W vs Tiafoe;50.0%;62.1%;66.7%;53.6%;66.7%;75.8%;54.5%;73.0%;73.3%;55.6%;0.0%;30.4%;47.8%;75.0%;42
2024 Cincinnati SF;W vs Zverev;33.9%;45.8%;51.9%;39.5%;43.8%;60.3%;46.3%;52.9%;57.6%;50.0%;100.0%;18.2%;22.7%;58.3%;-45
2024 Cincinnati QF;W vs Rublev;37.8%;48.9%;43.1%;43.7%;57.8%;73.3%;57.9%;69.6%;50.0%;73.7%;-;20.0%;27.5%;34.4%;77
2024 Cincinnati R32;W vs Michelsen;31.3%;43.4%;56.6%;37.0%;40.9%;56.8%;53.8%;51.6%;45.5%;54.5%;60.0%;22.9%;31.4%;59.3%;76
2024 Canada QF;L vs Rublev;39.7%;47.9%;40.0%;42.6%;53.5%;60.5%;45.0%;58.4%;42.1%;75.0%;50.0%;23.1%;34.6%;35.0%;102
2024 Canada R16;W vs Tabilo;33.3%;54.2%;72.4%;42.1%;44.0%;68.0%;85.7%;60.8%;81.8%;35.7%;-;25.0%;45.0%;60.0%;118
Last 52 Weeks (58 matches);;31.7%;43.9%;59.3%;38.4%;41.7%;57.3%;64.1%;52.7%;48.1%;53.7%;51.3%;17.6%;24.8%;53.6%;20
Career (201 matches);;28.6%;39.4%;55.6%;34.8%;37.4%;51.5%;59.4%;47.7%;46.7%;53.8%;54.2%;16.5%;22.9%;51.0%;29
